timestamp,determinand,unit,value,tank,tank_num
2023-03-31 09:00:00,ph,pH,7.4,CON.AVG,1.0
2023-03-31 10:00:00,ph,pH,7.47,CON.AVG,1.0
2023-03-31 11:00:00,ph,pH,7.59,CON.AVG,1.0
2023-03-31 12:00:00,ph,pH,7.76,CON.AVG,1.0
2023-03-31 13:00:00,gc,%CH4,0.02,CON.AVG,1.0
2023-03-31 13:00:00,ph,pH,7.65,CON.AVG,1.0
2023-03-31 13:00:00,pr,mBar,981.7,CON.AVG,1.0
2023-03-31 14:00:00,gc,%CH4,0.01,CON.AVG,1.0
2023-03-31 14:00:00,ph,pH,7.54,CON.AVG,1.0
2023-03-31 14:00:00,pr,mBar,984.4,CON.AVG,1.0
2023-03-31 15:00:00,ph,pH,7.52,CON.AVG,1.0
2023-03-31 15:00:00,pr,mBar,985.5,CON.AVG,1.0
2023-03-31 16:00:00,ph,pH,7.49,CON.AVG,1.0
2023-03-31 16:00:00,pr,mBar,985.5,CON.AVG,1.0
2023-03-31 17:00:00,ph,pH,7.44,CON.AVG,1.0
2023-03-31 17:00:00,pr,mBar,985.5,CON.AVG,1.0
2023-03-31 18:00:00,ph,pH,7.42,CON.AVG,1.0
2023-03-31 18:00:00,pr,mBar,985.5,CON.AVG,1.0
2023-03-31 19:00:00,ph,pH,7.45,CON.AVG,1.0
2023-03-31 19:00:00,pr,mBar,985.5,CON.AVG,1.0
2023-03-31 20:00:00,gc,%CH4,0.01,CON.AVG,1.0
2023-03-31 20:00:00,ph,pH,7.46,CON.AVG,1.0
2023-03-31 20:00:00,pr,mBar,987.04,CON.AVG,1.0
2023-03-31 21:00:00,ph,pH,7.44,CON.AVG,1.0
2023-03-31 21:00:00,pr,mBar,987.33,CON.AVG,1.0
2023-03-31 22:00:00,ph,pH,7.44,CON.AVG,1.0
2023-03-31 22:00:00,pr,mBar,987.33,CON.AVG,1.0
2023-03-31 23:00:00,ph,pH,7.41,CON.AVG,1.0
2023-03-31 23:00:00,pr,mBar,987.33,CON.AVG,1.0
2023-04-01 00:00:00,ph,pH,7.38,CON.AVG,1.0
2023-04-01 00:00:00,pr,mBar,987.33,CON.AVG,1.0
2023-04-01 01:00:00,ph,pH,7.42,CON.AVG,1.0
2023-04-01 01:00:00,pr,mBar,987.33,CON.AVG,1.0
2023-04-01 02:00:00,ph,pH,7.42,CON.AVG,1.0
2023-04-01 02:00:00,pr,mBar,987.33,CON.AVG,1.0
2023-04-01 03:00:00,ph,pH,7.42,CON.AVG,1.0
2023-04-01 03:00:00,pr,mBar,987.33,CON.AVG,1.0
